DATE,CSUSHPISA,Year,Month,GDP,Num_Vacant_House,Income,MORTGAGE30US,GDP Growth rate,Construstion material cost
2021-01-01,239.56,2021,1,22600.185,15602.0,76330.0,3.0300000000000002,10.9,256.4
2021-02-01,242.369,2021,2,22830.910666666667,15620.333333333334,76184.16666666667,3.08,11.533333333333333,264.6
2021-03-01,245.465,2021,3,23061.636333333336,15638.666666666666,76038.33333333333,3.13,12.166666666666668,276.7
2021-04-01,249.07,2021,4,23292.362,15657.0,75892.5,3.18,12.8,291.8
2021-05-01,253.407,2021,5,23471.232333333333,15507.333333333334,75746.66666666667,3.1133333333333333,11.700000000000001,305.9
2021-06-01,258.358,2021,6,23650.10266666667,15357.666666666666,75600.83333333333,3.046666666666667,10.6,315.7
2021-07-01,262.82,2021,7,23828.973,15208.0,75455.0,2.98,9.5,313.542
2021-08-01,266.845,2021,8,24104.183,15141.666666666666,75309.16666666667,3.1714285714285713,11.2,313.083
2021-09-01,270.377,2021,9,24379.393,15075.333333333334,75163.33333333333,3.362857142857143,12.9,317.136
2021-10-01,273.725,2021,10,24654.603,15009.0,75017.5,3.5542857142857143,14.6,322.12
2021-11-01,277.21,2021,11,24779.440666666665,15067.333333333334,74871.66666666667,3.7457142857142856,11.8,328.94
2021-12-01,281.342,2021,12,24904.278333333335,15125.666666666666,74725.83333333333,3.9371428571428573,9.0,335.032
2022-01-01,285.924,2022,1,25029.116,15184.0,74580.0,4.128571428571428,6.2,345.742
2022-02-01,291.153,2022,2,25200.835000000003,15226.666666666666,74580.0,4.32,6.966666666666667,343.583
2022-03-01,296.445,2022,3,25372.554,15269.333333333334,74580.0,4.511428571428572,7.733333333333333,345.852
2022-04-01,300.573,2022,4,25544.273,15312.0,74580.0,4.702857142857143,8.5,343.786
2022-05-01,303.762,2022,5,25694.395,15321.333333333334,74580.0,4.894285714285715,8.066666666666666,353.015
2022-06-01,304.724,2022,6,25844.517,15330.666666666666,74580.0,5.085714285714285,7.633333333333334,349.8
2022-07-01,303.879,2022,7,25994.639,15340.0,74580.0,5.277142857142858,7.2,346.79
2022-08-01,301.473,2022,8,26132.560999999998,15091.0,74580.0,5.468571428571429,6.966666666666667,342.753
2022-09-01,299.353,2022,9,26270.483,14842.0,74580.0,5.66,6.733333333333333,336.464
2022-10-01,298.873,2022,10,26408.405,14593.0,74580.0,5.9366666666666665,6.5,333.796
2022-11-01,298.269,2022,11,26543.47033333333,14762.666666666666,74580.0,6.213333333333334,6.433333333333334,330.369
2022-12-01,297.413,2022,12,26678.535666666667,14932.333333333334,74580.0,6.49,6.366666666666666,326.449
2023-01-01,297.03,2023,1,26813.601,15102.0,74580.0,6.54,6.3,327.338
2023-02-01,297.537,2023,2,26896.737999999998,15084.333333333334,74580.0,6.59,5.466666666666667,330.532
2023-03-01,298.637,2023,3,26979.875,15066.666666666666,74580.0,6.640000000000001,4.633333333333333,331.729
2023-04-01,300.213,2023,4,27063.012,15049.0,74580.0,6.69,3.8,333.366
2023-05-01,302.566,2023,5,27249.855666666666,15090.0,74580.0,6.74,5.5,337.473
2023-06-01,304.593,2023,6,27436.699333333334,15131.0,74580.0,6.79,7.2,337.336
2023-07-01,306.767,2023,7,27623.543,15172.0,74580.0,6.79,8.9,334.576
2023-08-01,309.155,2023,8,27623.543,15172.0,74580.0,6.79,8.9,333.98
2023-09-01,311.175,2023,9,27623.543,15172.0,74580.0,6.79,8.9,332.224
